title,genre,actors,view rating,release date,summary,score,votes,
Default,Drama,"Kim Hye-su, Yoo Ah-In, Woo-jin Jo, Joon-ho Huh",Not Rated,28 Nov 2018,"In 1997 South Korea, an oncoming economic crisis poses disparate challenges for a bank executive, a finance man and a small business owner.",6.6,1007,
Criticsized,"Action, Crime, Drama, Horror, Thriller","James Kyson, Kerr Smith, Callum Blue, Mike Marino",,13 Dec 2016,An LA police detective races to capture a serial killer who is targeting film critics and livestreaming his vengeful spree on the internet.,3.6,173,
Communication & Lies,"Short, Drama","Alexander Campbell, Rita Lefau Ryan, Rudi Vodanovich, Richard Lambeth",,,"Two individuals with trauma in their pasts find each other, but ground their relationship in lies as they each hide their true selves.",5,105,
Clover,"Comedy, Crime, Thriller","Mark Webber, Nicole Elizabeth Berger, Erika Christensen, Jon Abrahams",,03 Apr 2020,While still carrying a torch for her childhood first love — who’s now become a famous actor — Saya is suddenly asked out by her handsome but aloof boss.,4.2,246,
Blood Orange,Thriller,"Ben Lamb, Iggy Pop, Kacey Clarke, Antonio Magro",Not Rated,29 Apr 2016,"When a vengeful ex-lover suddenly shows up at their secluded villa, an aging rockstar and his wife fight for survival as things spiral out of control.",4.3,742,
The Big Shot,"Crime, Drama, Film-Noir, Thriller","Susan Peters, Humphrey Bogart, Richard Travis, Irene Manning",Approved,13 Jun 1942,A detective investigates a suicide case and soon uncovers a greater conspiracy connected to a real estate conglomerate.,6.7,782,
Angels Time,"Action, Drama, Fantasy, Thriller","J. August Richards, Alexis Denisof, David Boreanaz, Charisma Carpenter",TV-14,05 Oct 1999,"Inside a hospital where they meet, hope blossoms alongside friendship for a sick high school student and an athlete in need of surgery.",7.9,64596,
After My Death,Drama,"Taekyung Lee, Yeo-bin Jeon, Young-hwa Seo, Won-Hee Go",,13 Sep 2018,"When all suspicion falls on her following a classmates sudden disappearance, a teenage girl is forced to try and prove her innocence.",6.3,224,
The Age of Blood,Action,"Seung-jin Hong, Su-a Hong, Jung Hae-In, Dan-bi Geum",,14 Nov 2017,"The safety of Joseons king rests on the shoulders of its greatest swordsman, who catches wind of an assassination plan by a rebel mastermind.",5.9,148,
The Accidental Detective 2: In Action,"Comedy, Crime, Thriller","Yeong-hie Seo, Sang-Woo Kwon, Dong-il Sung, Sung-je Cha",,22 Jun 2018,"With a newly set up detective agency, two private eyes team up with an eccentric sleuth to uncover the answers behind a string of untimely deaths.",6.5,513,
12 Feet Deep,"Horror, Thriller","Diane Farr, Christian Kain Blackburn, Nora-Jane Noone, Alexandra Park",Not Rated,20 Jun 2017,"Estranged sisters become trapped in the swimming pool at an aquatic center during a long holiday weekend, leading to dark family secrets being revealed.",5.5,11977,
1987: When the Day Comes,Drama,"Hae-Jin Yoo, Jung-woo Ha, Kim Yoon-seok, Kim Tae-ri",Not Rated,12 Jan 2018,The truth behind a cover-up of a student activists death while in government custody sparks a movement for change. Inspired by true events.,7.8,3819,
Enter the Fat Dragon,"Action, Comedy","Jing Wong, Niki Chow, Teresa Mo, Donnie Yen",TV-14,14 Feb 2020,A cop teams up with a former police inspector and a restaurant owner to solve a mysterious murder and soon runs afoul of the local mob in Tokyo.,5.7,1351,
Operation Buffalo,"Adventure, Comedy, Drama, Thriller, War","Tony Martin, Jessica De Gouw, James Cromwell, Ewen Leslie",,31 May 2020,"In Cold War South Australia, an eclectic crew at a British nuclear testing site do their best to keep things together amid paranoia and shocking antics.",6.3,401,
Bigfoot Family,"Animation, Family","Kylian Trouillard, Marie Chevalot, Frederic Souterelle, Alexis Victor",TV-Y7,05 Aug 2020,"Bigfoot’s now a big deal. So when he goes missing, his shy but tech-savvy teen son must take on an evil CEO to save his family and a wildlife preserve.",6,749,
The Girl on the Train,"Crime, Drama, Mystery, Thriller","Emily Blunt, Justin Theroux, Rebecca Ferguson, Haley Bennett",R,07 Oct 2016,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,6.5,169614,
Ginny & Georgia - The Afterparty,"Animation, Short","Georgi Nightingall, Howard Nightingall",,01 May 2016,"Cast members of the hit Netflix show join the hosts to unpack the drama of Season 1, and Cristela Alonzo offers tips for being the new kid at school.",5.3,7,
Ride Your Wave,"Animation, Comedy, Drama, Family, Fantasy, Romance","Kentaro Ito, Honoka Matsumoto, Rina Kawaei, Ryôta Katayose",Not Rated,19 Feb 2020,Hinako is heartbroken when her boyfriend drowns – until she discovers that he reappears in water when she sings their favorite song.,6.8,1601,
Baumbacher Syndrome,"Comedy, Drama","László Branko Breiding, Kaweh Modiri, Ingvild Deila, Elit Iscan",,20 Jan 2021,"After waking up one day with a profoundly deep voice, a man gains global attention, but soon tries to exile himself to escape the spotlight.",7.4,332,
