title,genre,actors,view rating,release date,summary,score,votes,
Getaway Plan,"Action, Adventure, Crime, Drama, Thriller","Javier Gutiérrez, Itziar Atienza, Alba Galocha, Alain Hernández",Not Rated,28 Apr 2017,Professional burglar and blowtorch expert Víctor is recruited by the Russian mafia to break into a vault as part of an elaborate bank heist.,5.6,1617,
Pettersson and Findus 2,"Animation, Comedy, Family, Fantasy","Ali Samadi Ahadi, Petra Beck, Marlene Bleek, Ali N. Askin",,03 Nov 2016,"Christmas is just around the corner, but Pettersson and Findus are worried the snowy weather (and lack of a tree) may keep them from celebrating.",5.5,294,
Zumbos Just Desserts,Reality-TV,Gigi Falanga,TV-14,22 Aug 2016,"Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.",6.9,1872,
SPF-18,"Drama, Romance, Sport","Carson Meyer, Bianca A. Santos, Jackson White, Noah Centineo",PG-13,29 Sep 2017,The arrival of an enigmatic struggling musician in Malibu shakes the ground beneath the feet of a teenage girl and her surfer boyfriend.,3.2,4556,
Pup Star: Better 2Gether,Family,"Lombardo Boyar, Obba Babatundé, Chris Coppola, Molly Burnett",PG,29 Aug 2017,Returning Pup Star champ Tiny has her Yorkie paws full after an evil rival replaces her with street dog Scrappy during the national competition.,4.7,192,
Joan Didion: The Center Will Not Hold,Documentary,"Dick Cheney, Hilton Als, Jim Didion, Tom Brokaw",,27 Oct 2017,"Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne.",7.4,1777,
Argon,Drama,"Yoon-ho Ji, Il-Joo Ji, Ju-hyuk Kim, Woo-hee Chun",,04 Sep 2017,"In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light.",7.4,202,
Grave of the Fireflies,"Animation, Drama, War","Akemi Yamaguchi, Yoshiko Shinohara, Ayano Shiraishi, Tsutomu Tatsumi",Not Rated,26 Jul 1989,"Two orphans fight for survival in post-World War II Japan, but society is harsh and they struggle to escape the hardships of war and find enough food.",8.5,237321,
The Lovers,"Comedy, Drama, Romance","Aidan Gillen, Melora Walters, Debra Winger, Tracy Letts",R,05 May 2017,"On the verge of divorce, a middle-aged couple, each involved in a serious affair, rethink their marriage and the meaning of love and fidelity.",6.1,3458,
Strange Weather,Drama,"Kim Coates, Carrie Coon, Holly Hunter, Choppy Guillotte",R,28 Jul 2017,"A grieving mother takes a road trip with her friend to confront the man who, she believes, stole her late sons business idea to get rich.",5.9,1187,
Fack ju Göhte,Comedy,"Katja Riemann, Jana Pallaske, Karoline Herfurth, Elyas M'Barek",,07 Nov 2013,"When an ex-con discovers the loot he buried from his last robbery is now covered by a school gym, he gets a teaching job there in order to recover it.",6.9,26797,
Black,Thriller,"Jonathan Rhys Meyers, Vincent Riotta, Piper Perabo, Antonio Banderas",R,26 May 2017,"A Grim Reaper, a detective and a woman who foresees death get ensnared in matters of life and death -- and dark mysteries of twenty years past.",6.2,12610,
Urban Legend,"Horror, Mystery, Thriller","Michael Rosenbaum, Rebecca Gayheart, Jared Leto, Alicia Witt",R,25 Sep 1998,"In the wake of several gruesome murders at her college campus, the inquisitive Natalie begins to suspect that a single crazed killer is responsible.",5.6,60496,
It Comes at Night,"Horror, Mystery, Sci-Fi","Christopher Abbott, Joel Edgerton, Riley Keough, Carmen Ejogo",R,09 Jun 2017,"As danger stalks the world outside his isolated home, an overprotective father faces a tough decision when another family shows up seeking help.",6.2,84529,
Wanted,"Action, Crime, Drama","Rebecca Gibney, Geraldine Hakewill, Anthony Phelan, Nicholas Bell",TV-14,24 Oct 2017,Polar-opposite strangers Lola and Chelsea become partners on the run when they witness a murder involving dirty cops and are framed for the crime.,7.7,4610,
Jack Whitehall: At Large,Comedy,Jack Whitehall,TV-MA,24 Oct 2017,"Comedian Jack Whitehall takes the stage to tell stories about drinking, drugs, a Google Maps van and his ongoing rivalry with Robert Pattinson.",6.9,1785,
Black Butterfly,Thriller,"Jonathan Rhys Meyers, Vincent Riotta, Piper Perabo, Antonio Banderas",R,26 May 2017,"As a dangerous drifter holds him hostage in his own cabin, a struggling screenwriter finds himself locked in a battle of both wits and survival.",6.2,12610,
The Condemned 2,"Action, Thriller","Randy Orton, Steven Michael Quezada, Wes Studi, Eric Roberts",R,06 Nov 2015,"When a bounty hunter fails to nab a gambling ring leader, he teams up with his father to survive a deadly televised game where hes now the hunted.",4.2,2550,
Amateur Night,Comedy,"Jason Biggs, Ashley Tisdale, Bria L. Murphy, Janet Montgomery",Not Rated,12 Aug 2016,"With his wife expecting their first child, an unemployed architect reluctantly accepts a job driving escorts around Los Angeles.",5.1,4767,
The Liar,"Short, Drama","Ted LeBlang, Shannon Parr, Jordan Jeffrey Brown",,,"At the CARE detective agency, investigators see a lot of action but must always keep their cases secret, even when it affects their personal lives.",,,
The Day I Met El Chapo,"Documentary, Biography","Marianne Sauvage, Kate del Castillo, Jessica Maldonado",,20 Oct 2017,"Mexican superstar actress Kate del Castillo reveals the untold story of her encounter with El Chapo Guzmán, the world’s most-wanted drug lord.",6.9,932,
1922,"Crime, Drama, Horror, Mystery, Thriller","Kaitlyn Bernard, Molly Parker, Dylan Schmid, Thomas Jane",TV-MA,20 Oct 2017,"A farmer pens a confession admitting to his wifes murder, but her death is just the beginning of a macabre tale. Based on Stephen Kings novella.",6.3,53636,
Wheelman,"Action, Crime, Thriller","Garret Dillahunt, Caitlin Carmichael, Shea Whigham, Frank Grillo",TV-MA,20 Oct 2017,The getaway driver in a botched robbery puts his skills and smarts to the test when he receives shocking orders from an unknown caller.,6.4,17673,
Smurfs: The Lost Village,"Animation, Adventure, Comedy, Family, Fantasy","Jack McBrayer, Rainn Wilson, Demi Lovato, Joe Manganiello",PG,07 Apr 2017,"Smurfette and best pals Brainy, Clumsy and Hefty journey deep into the Forbidden Forest to save a mysterious lost village from evil wizard Gargamel.",6,18627,
One of Us,"Drama, Horror, Mystery, Thriller","Derek Smith, Carly Schroeder, Christa B. Allen, Chasty Ballesteros",Unrated,,"In the wake of trauma and abuse, three Hasidic Jews face ostracism, anxiety and danger as they attempt to leave their ultra-Orthodox community.",4.2,556,
All Eyez on Me,"Biography, Drama, Music","Demetrius Shipp Jr., Kat Graham, Danai Gurira, Hill Harper",R,16 Jun 2017,Indomitable rapper and poet Tupac Shakur faces inner demons and a life of escalating danger as he pursues a successful career in the music industry.,5.9,21281,
Colossal,"Action, Comedy, Drama, Fantasy, Sci-Fi, Thriller","Jason Sudeikis, Anne Hathaway, Tim Blake Nelson, Austin Stowell",R,21 Apr 2017,An unemployed New York party girl whos returned to her hometown comes to believe she has a connection to a mega-monster running amok in Seoul.,6.2,59188,
Sab Jholmaal Hai,Animation,Mubeen Saudagar,TV-G,,"In this madcap comedy, two mischievous cats, a talking parrot and a high-strung dog keep getting into trouble while their human is away.",5.5,33,
Patton Oswalt: Annihilation,Comedy,Patton Oswalt,TV-MA,17 Oct 2017,"By turns scathing and candid, Patton Oswalt reflects on the glut of comic material in the Trump era and the dark days following a personal tragedy.",7.2,2160,
La Femme,Drama,"Line Renaud, Simon Boyle, Richard Sammel, Pierre Mondy",,06 Sep 2008,"Personal desires guide the lives of a marriage-averse entrepreneur, a housewife coping with infidelity and a career woman who leaves her spouse.",6.6,39,
Laws of Attraction,"Short, Comedy, Romance","Allison Powell, Jade Arnold, Christine Rogers, Wyatt Geist",,,"Four couples -- a speed-dating pair, a husband and wife, a man living with an older woman and co-workers with opposite views -- weather ups and downs.",,,
Rosita,"Drama, Romance","Mikkel Boe Følsgaard, Julie Agnete Vang, Jens Albinus, Mercedes Cabral",,16 Apr 2015,"In a remote Danish fishing village, a middle-aged widowers son is attracted to the young Filipino woman whom his father is considering marrying.",6.3,344,
Baadshaho,"Action, Thriller","Ajay Devgn, Esha Gupta, Emraan Hashmi, Ileana D'Cruz",Not Rated,01 Sep 2017,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lovers seized treasures.",4.9,4336,
Lucknow Central,"Action, Drama, Music, Thriller","Farhan Akhtar, Diana Penty, Inaamulhaq, Ronit Roy",Not Rated,15 Sep 2017,"After being arrested for a crime he didnt commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band.",6.2,2623,
The Abyss,"Adventure, Drama, Mystery, Sci-Fi, Thriller","Leo Burmester, Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",PG-13,09 Aug 1989,"When a nuclear sub sinks, a team of divers descends the depths to determine the cause in this sci-fi thriller from writer-director James Cameron.",7.5,162973,
Fala Comigo,Drama,"Tom Karabachian, Denise Fraga, Emílio de Mello, Karine Teles",,13 Jul 2017,"A bored teen phones his psychiatrist mothers female patients to elicit a thrill, but he suddenly finds himself making a real-life connection.",6.3,423,
Ujala,"Crime, Drama, Romance","Raaj Kumar, Leela Chitnis, Shammi Kapoor, Mala Sinha",,,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",6.8,61,
Why Knot,Documentary,,,,"Pressured by his traditional family to marry, a filmmaker explores the idea of monogamy and the possibility of lifelong union without sexual fidelity.",5.5,64,
Singapore,"Crime, Thriller","Shashikala, Maria Menado, Padmini, Shammi Kapoor",,,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",6.4,70,
Belief: The Possession of Janet Moses,"Documentary, Crime, Drama, Horror, Mystery","Vivien Bell, Tangaroa Te Ariki, Viv Babbington, Nick Blake",,27 Jul 2015,"This documentary tries to reconstruct, through a series of interviews, a familys misguided attempt to heal a womans pain through exorcism.",5.7,583,
Skin Wars: Fresh Paint,Reality-TV,"Mat Gleason, RuPaul, Emma Cammack, Amanda Rea",,15 Jun 2016,"In each episode of this Skin Wars spinoff hosted by RuPaul, talented artists from various fields compete in body art for the first time.",6.2,305,
Hubert und Staller,"Comedy, Crime","Annett Fleischer, Helmfried von Lüttichau, Christian Tramitz, Michael Brandner",,21 Jan 2016,"Despite their mismatched styles, police officer partners Hubert and Staller rely on teamwork as they investigate murder cases in rural Bavaria.",6.8,144,
Seven and Me,"Animation, Comedy, Family, Fantasy","David Lowe, Flavio Parenti, Geraldine O'Rawe, Leila Jolene",,,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarves arrive at her suburban home to serve as her guardian angels.,5.5,42,
Power Rangers Ninja Steel,"Action, Adventure, Drama, Sci-Fi, Thriller","Peter Adrian Sudarso, Zoë Robins, Nico Greetham, William Shewfelt",TV-Y7,21 Jan 2017,A new generation of teen heroes uses superhuman ninja powers to battle the intergalactic villain Galvanax and save Earth from destruction.,6.1,666,
Daniël Arends: Carte Blanche,"Documentary, Comedy",Daniël Arends,,14 Oct 2016,"Always confrontational and provocative, comic performer Daniël Arends challenges orthodoxy, the fakery and hypocrisy of modern life, and even himself.",7.4,176,
Kingdom of Us,"Documentary, Drama","Jamie-Jodie Shanks, Lorie-Lanie Shanks, Mirie-Marie Shanks, Kacie-Kimie Shanks",,13 Oct 2017,A fathers suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.,7,788,
The Babysitter,"Comedy, Horror","Robbie Amell, Hana Mae Lee, Samara Weaving, Judah Lewis",TV-MA,13 Oct 2017,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet.",6.3,74078,
MINDHUNTER,"Crime, Drama, Thriller","Jonathan Groff, Anna Torv, Holt McCallany, Sonny Valicenti",TV-MA,13 Oct 2017,In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.,8.6,216673,
Super Monsters,"Animation, Comedy, Family, Horror","Alessandro Juliani, Erin Mathews, Nigel Pilkington, Ewan Goddard",TV-Y,13 Oct 2017,Preschool kids whose parents are the worlds most famous monsters try to master their special powers while preparing for kindergarten.,6.6,334,
The Meyerowitz Stories (New and Selected),"Comedy, Drama","Dustin Hoffman, Adam Sandler, Grace Van Patten, Elizabeth Marvel",TV-MA,13 Oct 2017,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father -- and his fading legacy.,6.9,42985,
The Frozen Dead,"Crime, Drama, Mystery, Thriller","Pascal Greggory, Nina Meurisse, Julia Piaton, Charles Berling",,10 Jan 2017,A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.,6.3,3143,
La Mante,"Crime, Drama, Thriller","Pascal Demolon, Fred Testot, Manon Azem, Carole Bouquet",,28 Aug 2017,"Decades after her capture, a serial killer offers to help solve a string of copycat murders -- but only if her son, now a cop, will work by her side.",7.4,10761,
Clair Obscur,Drama,"Funda Eryigit, Ecem Uzun, Okan Yalabik, Mehmet Kurtulus",,16 Dec 2016,"While examining a young woman who has just murdered her husband and mother-in-law, a psychiatrist begins to reflect on her own marriage.",6.5,2031,
Blessed Benefit,"Comedy, Drama","Maher Khammash, Mahmoud al Massad, Odai Hijazi, Ahmad Thaher",,17 Aug 2017,"After being wrongfully convicted of fraud, an honest man finds that life in prison comes with a measure of freedom that is unavailable outside.",6.7,553,
Dynasty,Drama,"Sam Adegoke, Robert Christopher Riley, Elizabeth Gillies, Rafael de la Fuente",TV-14,11 Oct 2017,The Carringtons and the Colbys feud for control over their fortune -- and their children -- in this updated reboot of the classic prime-time soap.,7.3,14699,
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama, Thriller","Lior Ashkenazi, Michael Sheen, Steve Buscemi, Richard Gere",R,09 Mar 2017,The life of a small-time fixer changes dramatically after a politician he had once befriended becomes the prime minister of Israel.,6.1,5695,
